2023-12-23 00:25:07,488- INFO - Uygulama Basliyor, StreamName: batuhanberkeelma Port: 8787
2023-12-23 00:25:09,036- INFO - HTTP Request: GET https://www.tiktok.com/@batuhanberkeelma/live "HTTP/1.1 200 OK"
2023-12-23 00:25:10,135- INFO - HTTP Request: GET https://webcast.tiktok.com/webcast/room/info/?aid=1988&app_language=tr-Tr&app_name=tiktok_web&browser_language=tr&browser_name=Mozilla&browser_online=True&browser_platform=Win32&browser_version=5.0+%28Windows+NT+10.0%3B+Win64%3B+x64%29+AppleWebKit%2F537.36+%28KHTML%2C+like+Gecko%29+Chrome%2F102.0.5005.63+Safari%2F537.36&cookie_enabled=True&cursor=&internal_ext=&device_platform=web&focus_state=True&from_page=user&history_len=4&is_fullscreen=False&is_page_visible=True&did_rule=3&fetch_rule=1&last_rtt=0&live_id=12&resp_content_type=protobuf&screen_height=1152&screen_width=2048&tz_name=Europe%2FBerlin&referer=https%3A%2F%2Fwww.tiktok.com%2F&root_referer=https%3A%2F%2Fwww.tiktok.com%2F&msToken=&version_code=180800&webcast_sdk_version=1.3.0&update_version_code=1.3.0&room_id=7315527790888274694 "HTTP/1.1 200 OK"
2023-12-23 00:25:10,880- INFO - HTTP Request: GET https://webcast.tiktok.com/webcast/gift/list/?aid=1988&app_language=tr-Tr&app_name=tiktok_web&browser_language=tr&browser_name=Mozilla&browser_online=True&browser_platform=Win32&browser_version=5.0+%28Windows+NT+10.0%3B+Win64%3B+x64%29+AppleWebKit%2F537.36+%28KHTML%2C+like+Gecko%29+Chrome%2F102.0.5005.63+Safari%2F537.36&cookie_enabled=True&cursor=&internal_ext=&device_platform=web&focus_state=True&from_page=user&history_len=4&is_fullscreen=False&is_page_visible=True&did_rule=3&fetch_rule=1&last_rtt=0&live_id=12&resp_content_type=protobuf&screen_height=1152&screen_width=2048&tz_name=Europe%2FBerlin&referer=https%3A%2F%2Fwww.tiktok.com%2F&root_referer=https%3A%2F%2Fwww.tiktok.com%2F&msToken=&version_code=180800&webcast_sdk_version=1.3.0&update_version_code=1.3.0&room_id=7315527790888274694 "HTTP/1.1 200 OK"
2023-12-23 00:25:12,061- INFO - HTTP Request: GET https://tiktok.eulerstream.com/webcast/fetch/?aid=1988&app_language=tr-Tr&app_name=tiktok_web&browser_language=tr&browser_name=Mozilla&browser_online=True&browser_platform=Win32&browser_version=5.0+%28Windows+NT+10.0%3B+Win64%3B+x64%29+AppleWebKit%2F537.36+%28KHTML%2C+like+Gecko%29+Chrome%2F102.0.5005.63+Safari%2F537.36&cookie_enabled=True&cursor=&internal_ext=&device_platform=web&focus_state=True&from_page=user&history_len=4&is_fullscreen=False&is_page_visible=True&did_rule=3&fetch_rule=1&last_rtt=0&live_id=12&resp_content_type=protobuf&screen_height=1152&screen_width=2048&tz_name=Europe%2FBerlin&referer=https%3A%2F%2Fwww.tiktok.com%2F&root_referer=https%3A%2F%2Fwww.tiktok.com%2F&msToken=&version_code=180800&webcast_sdk_version=1.3.0&update_version_code=1.3.0&room_id=7315527790888274694&client=ttlive-python&uuc=1&apiKey= "HTTP/1.1 200 OK"
2023-12-23 00:25:13,026- INFO - Connected to Room ID:7315527790888274694
2023-12-23 00:25:41,305- INFO - Gift Bilgileri,UserName: Klarise Fatoş , Name: Rose, Cost: 1, Streakable : True , Count : 1 , Streaking: True
2023-12-23 00:25:43,850- INFO - Gift Bilgileri,UserName: Klarise Fatoş , Name: Rose, Cost: 1, Streakable : True , Count : 1 , Streaking: False
2023-12-23 00:25:44,544- INFO - Gift Bilgileri,UserName: Klarise Fatoş , Name: Rose, Cost: 1, Streakable : True , Count : 1 , Streaking: True
2023-12-23 00:25:44,544- INFO - Gift Bilgileri,UserName: Nursen , Name: Squirrel, Cost: 1, Streakable : True , Count : 1 , Streaking: True
2023-12-23 00:25:47,024- INFO - Gift Bilgileri,UserName: KısmetseOlurMgz , Name: Rose, Cost: 1, Streakable : True , Count : 1 , Streaking: True
2023-12-23 00:25:47,950- INFO - Gift Bilgileri,UserName: user6769743665142 , Name: Rose, Cost: 1, Streakable : True , Count : 1 , Streaking: True
2023-12-23 00:25:47,950- INFO - Gift Bilgileri,UserName: Klarise Fatoş , Name: Rose, Cost: 1, Streakable : True , Count : 1 , Streaking: False
2023-12-23 00:25:47,951- INFO - Gift Bilgileri,UserName: Baran Taş , Name: TGIF, Cost: 1, Streakable : True , Count : 1 , Streaking: True
2023-12-23 00:25:47,951- INFO - Gift Bilgileri,UserName: Nursen , Name: Squirrel, Cost: 1, Streakable : True , Count : 1 , Streaking: False
2023-12-23 00:25:50,178- INFO - Gift Bilgileri,UserName: KısmetseOlurMgz , Name: Rose, Cost: 1, Streakable : True , Count : 1 , Streaking: False
2023-12-23 00:25:51,124- INFO - Gift Bilgileri,UserName: user6769743665142 , Name: Rose, Cost: 1, Streakable : True , Count : 1 , Streaking: False
2023-12-23 00:25:51,124- INFO - Gift Bilgileri,UserName: Baran Taş , Name: TGIF, Cost: 1, Streakable : True , Count : 1 , Streaking: False
2023-12-23 00:26:08,839- INFO - Gift Bilgileri,UserName: Zainab , Name: Squirrel, Cost: 1, Streakable : True , Count : 1 , Streaking: True
2023-12-23 00:26:11,295- INFO - Gift Bilgileri,UserName: Nursen , Name: Rose, Cost: 1, Streakable : True , Count : 1 , Streaking: True
2023-12-23 00:26:12,992- INFO - Gift Bilgileri,UserName: Zainab , Name: Squirrel, Cost: 1, Streakable : True , Count : 1 , Streaking: False
2023-12-23 00:26:14,476- INFO - Gift Bilgileri,UserName: Nursen , Name: Rose, Cost: 1, Streakable : True , Count : 1 , Streaking: False
2023-12-23 00:26:21,776- INFO - Gift Bilgileri,UserName: ATA KEMAL ÖZER , Name: Squirrel, Cost: 1, Streakable : True , Count : 1 , Streaking: True
2023-12-23 00:26:25,048- INFO - Gift Bilgileri,UserName: ATA KEMAL ÖZER , Name: Squirrel, Cost: 1, Streakable : True , Count : 1 , Streaking: False
2023-12-23 00:26:29,042- INFO - Gift Bilgileri,UserName: DİLHAN♥️♥️ , Name: Heart Me, Cost: 1, Streakable : False , Count : 1 , Streaking: True
2023-12-23 00:26:38,072- INFO - Gift Bilgileri,UserName: Ervalıanne52 , Name: Rose, Cost: 1, Streakable : True , Count : 1 , Streaking: True
2023-12-23 00:26:39,759- INFO - Gift Bilgileri,UserName: Ervalıanne52 , Name: Rose, Cost: 1, Streakable : True , Count : 2 , Streaking: True
2023-12-23 00:26:40,505- INFO - Gift Bilgileri,UserName: Ervalıanne52 , Name: Rose, Cost: 1, Streakable : True , Count : 3 , Streaking: True
