[2023-12-23T00:00:05,735] [DEBUG] c.e.t.GiftServer:27 0:0:0:0:0:0:0:1 entered the room!
[2023-12-23T00:04:07,540] [ERROR] c.e.t.RaceSettingsController:917 TikTokLiveDeneme.exe tüm örnekleri kapatılamadı.
[2023-12-23T00:04:08,893] [DEBUG] c.e.t.RaceSettingsController:614 Yarışma Bitirme Butonuna Basıldı
[2023-12-23T00:04:16,349] [DEBUG] c.e.t.Launcher:9 Uygulama açılıyor
[2023-12-23T00:04:16,356] [DEBUG] c.e.t.TikTokRace:22 Gift Server Başlatılıyor Port 8787
[2023-12-23T00:04:16,667] [DEBUG] c.e.t.TikTokRace:34 Options Ekranı yükleniyor
[2023-12-23T00:04:16,971] [DEBUG] c.e.t.RaceSettingsController:234 RaceSetting initialize
[2023-12-23T00:04:16,981] [DEBUG] c.e.t.RaceSettingsController:242 EditGiftComboBox
[2023-12-23T00:04:16,982] [DEBUG] c.e.t.Gift:62 Gift Listesi Parse Ediliyor
[2023-12-23T00:04:24,416] [DEBUG] c.e.t.GiftServer:27 0:0:0:0:0:0:0:1 entered the room!
[2023-12-23T00:24:14,625] [DEBUG] c.e.t.Launcher:9 Uygulama açılıyor
[2023-12-23T00:24:14,631] [DEBUG] c.e.t.TikTokRace:22 Gift Server Başlatılıyor Port 8787
[2023-12-23T00:24:14,944] [DEBUG] c.e.t.TikTokRace:34 Options Ekranı yükleniyor
[2023-12-23T00:24:15,243] [DEBUG] c.e.t.RaceSettingsController:234 RaceSetting initialize
[2023-12-23T00:24:15,244] [DEBUG] c.e.t.RaceSettingsController:242 EditGiftComboBox
[2023-12-23T00:24:15,245] [DEBUG] c.e.t.Gift:62 Gift Listesi Parse Ediliyor
[2023-12-23T00:25:05,884] [DEBUG] c.e.t.RaceSettingsController:281 Yarışma Başladı-startRaceAction
[2023-12-23T00:25:05,975] [DEBUG] c.e.t.u.XMLUtils:38 XML belgesi oluşturuldu.
[2023-12-23T00:25:05,977] [DEBUG] c.e.t.RaceSettingsController:373 4 takımlı yarışma başlatılıyor
[2023-12-23T00:25:05,980] [DEBUG] c.e.t.u.RunWSController:22 Tiktok ws socket başlatılıyor : yayın ismi batuhanberkeelma, port 8787
[2023-12-23T00:25:06,180] [DEBUG] c.e.t.u.RunWSController:29 Başlatılan İşlem PID: 21144
[2023-12-23T00:25:06,207] [DEBUG] c.e.t.RaceSettingsController:596 Get ComboBox Gifts
[2023-12-23T00:25:06,208] [DEBUG] c.e.t.RaceSettingsController:596 Get ComboBox Gifts
[2023-12-23T00:25:06,208] [DEBUG] c.e.t.RaceSettingsController:596 Get ComboBox Gifts
[2023-12-23T00:25:06,208] [DEBUG] c.e.t.RaceSettingsController:596 Get ComboBox Gifts
[2023-12-23T00:25:06,208] [DEBUG] c.e.t.FourTeamsController:116 4 takımlı yarış display
[2023-12-23T00:25:06,208] [DEBUG] c.e.t.FourTeamsController:260 editFolders
[2023-12-23T00:25:06,209] [DEBUG] c.e.t.Gift:62 Gift Listesi Parse Ediliyor
[2023-12-23T00:25:06,217] [DEBUG] c.e.t.u.MediaPlayerUtils:88 teamGifts
[2023-12-23T00:25:06,225] [DEBUG] c.e.t.u.MediaPlayerUtils:88 teamGifts
[2023-12-23T00:25:06,225] [DEBUG] c.e.t.u.MediaPlayerUtils:88 teamGifts
[2023-12-23T00:25:06,226] [DEBUG] c.e.t.u.MediaPlayerUtils:88 teamGifts
[2023-12-23T00:25:06,226] [DEBUG] c.e.t.FourTeamsController:212 editHBoxes
[2023-12-23T00:25:06,226] [DEBUG] c.e.t.u.MediaPlayerUtils:105 CreateGiftsHBOX
[2023-12-23T00:25:06,230] [DEBUG] c.e.t.Gift:94 Linkten Resim
[2023-12-23T00:25:06,230] [DEBUG] c.e.t.Gift:116 PNG resim yükleniyor : https://storage.streamdps.com/iblock/f59/f5902abbd13178017285a308606fd0dd/cf6a40558018965a8171cf5a575dd9de.png
[2023-12-23T00:25:06,715] [DEBUG] c.e.t.u.MediaPlayerUtils:112 createImageView
[2023-12-23T00:25:06,720] [DEBUG] c.e.t.Gift:94 Linkten Resim
[2023-12-23T00:25:06,721] [DEBUG] c.e.t.Gift:116 PNG resim yükleniyor : https://storage.streamdps.com/iblock/688/688f0c350f9cd9751cb02659f4ab105e/2b2d66c2f9767fc8332ee1b5ba0c1057.png
[2023-12-23T00:25:06,840] [DEBUG] c.e.t.u.MediaPlayerUtils:112 createImageView
[2023-12-23T00:25:06,841] [DEBUG] c.e.t.Gift:94 Linkten Resim
[2023-12-23T00:25:06,841] [DEBUG] c.e.t.Gift:116 PNG resim yükleniyor : https://storage.streamdps.com/iblock/440/4402267722e227b72adc97db92504b75/ae0f562146e701f32ae96761ac67c5cc.png
[2023-12-23T00:25:06,867] [DEBUG] c.e.t.u.MediaPlayerUtils:112 createImageView
[2023-12-23T00:25:06,868] [DEBUG] c.e.t.Gift:94 Linkten Resim
[2023-12-23T00:25:06,868] [DEBUG] c.e.t.Gift:116 PNG resim yükleniyor : https://storage.streamdps.com/iblock/46d/46d0f497391a934d27d9b993f444d8b2/121af719b172eed61d8a75c1b1341c9d.png
[2023-12-23T00:25:06,899] [DEBUG] c.e.t.u.MediaPlayerUtils:112 createImageView
[2023-12-23T00:25:06,900] [DEBUG] c.e.t.u.MediaPlayerUtils:105 CreateGiftsHBOX
[2023-12-23T00:25:06,900] [DEBUG] c.e.t.Gift:94 Linkten Resim
[2023-12-23T00:25:06,900] [DEBUG] c.e.t.Gift:116 PNG resim yükleniyor : https://storage.streamdps.com/iblock/232/232e2afc8e6c022c5c78df18cf196663/f2ba6300ef54121763648a60d465eef5.png
[2023-12-23T00:25:06,978] [DEBUG] c.e.t.u.MediaPlayerUtils:112 createImageView
[2023-12-23T00:25:06,979] [DEBUG] c.e.t.Gift:94 Linkten Resim
[2023-12-23T00:25:06,979] [DEBUG] c.e.t.Gift:116 PNG resim yükleniyor : https://storage.streamdps.com/iblock/4e3/4e341b08230703a6f09ba3234c3fe717/3854ed8e881ebbe5208882602b30cf88.png
[2023-12-23T00:25:07,013] [DEBUG] c.e.t.u.MediaPlayerUtils:112 createImageView
[2023-12-23T00:25:07,013] [DEBUG] c.e.t.Gift:94 Linkten Resim
[2023-12-23T00:25:07,014] [DEBUG] c.e.t.Gift:116 PNG resim yükleniyor : https://storage.streamdps.com/iblock/46d/46d0f497391a934d27d9b993f444d8b2/121af719b172eed61d8a75c1b1341c9d.png
[2023-12-23T00:25:07,038] [DEBUG] c.e.t.u.MediaPlayerUtils:112 createImageView
[2023-12-23T00:25:07,038] [DEBUG] c.e.t.Gift:94 Linkten Resim
[2023-12-23T00:25:07,038] [DEBUG] c.e.t.Gift:116 PNG resim yükleniyor : https://storage.streamdps.com/iblock/0c4/0c446fb276fafbb0f0d5e3abfedf2510/f4bbea9d03b1453bd37d571282334f1b.png
[2023-12-23T00:25:07,066] [DEBUG] c.e.t.u.MediaPlayerUtils:112 createImageView
